,intitule,classe
0,Conseiller(ère) commercial(e) auprès des particuliers (H/F),Conseiller commercial / Conseillère commerciale auprès des particuliers
1,Infirmier / Infirmière auxiliaire (H/F),Infirmier / Infirmière de soins généraux
2,Aide soignante H/F,Aide-soignant / Aide-soignante
3,Aide soignante H/F,Aide-soignant / Aide-soignante
4,Aide soignante H/F,Aide-soignant / Aide-soignante
5,Aide soignant H/F,Aide-soignant / Aide-soignante
6,"Technico Commercial B2B H/F - Mayenne, Château-Gontier",Technico-commercial / Technico-commerciale
7,Technicien de maintenance H/F,Technicien / Technicienne de maintenance industrielle
8,Technico-commercial métallier industriel H/F,Technico-commercial / Technico-commerciale
9,Conseiller Commercial Particuliers - St Nicolas de Port ( 54 ) H/F,Conseiller commercial / Conseillère commerciale auprès des particuliers
10,Developpeur fullstack java / angular - h/f,Aide-soignant / Aide-soignante
11,Développeur Back end - PHP (H/F),Développeur / Développeuse informatique
12,Developpeur Fullstack Java / Angular - H/F,Aide-soignant / Aide-soignante
13,Baby-sitter (H/F),Baby-sitter
14,Garde d'enfants à domicile (H/F),Garde d'enfant à domicile
15,Baby-sitting 14 h/semaine (H/F),Baby-sitter
16,Garde d'enfant Ã  domicile (H/F),Garde d'enfant à domicile
17,Garde d'enfant 10 h/semaine (H/F),Garde d'enfant à domicile
18,Nounou à mi-temps (H/F),Aide-soignant / Aide-soignante
19,Baby-sitter (H/F),Baby-sitter
20,Garde d'enfant Ã  domicile (H/F),Garde d'enfant à domicile
21,"BABY-SITTING 9 H/SEMAINE À BRY SUR MARNE POUR 2 ENFANTS, 4 ANS, 9 ANS (H/F)",Baby-sitter
22,Baby-sitting à Créteil (H/F),Baby-sitter
23,Garde d'enfant à domicile (H/F),Garde d'enfant à domicile
24,Infirmier(e) en section H/F,Infirmier / Infirmière de soins généraux
25,Préparateur / Préparatrice de commandes H/F,Préparateur / Préparatrice de commandes
26,"CHERCHE NOUNOU 6 H/SEMAINE À STRASBOURG POUR 2 ENFANTS, 3 ANS, 7 ANS (H/F)",Aide-soignant / Aide-soignante
27,Baby-sitting 9 h/semaine (H/F),Baby-sitter
28,Baby-sitter (H/F),Baby-sitter
29,"GARDE D'ENFANT 3 H/SEMAINE À METZ POUR 1 ENFANT, 7 ANS (H/F)",Garde d'enfant à domicile
30,"BABY-SITTING 5 H/SEMAINE À STRASBOURG POUR 2 ENFANTS, 5 ANS, 8 ANS (H/F)",Baby-sitter
31,Garde d'enfant Ã  domicile (H/F),Garde d'enfant à domicile
32,"BABY-SITTING 4 H/SEMAINE À STRASBOURG POUR 2 ENFANTS, 5 ANS, 7 ANS (H/F)",Baby-sitter
33,TECHNICIEN DE MAINTENANCE (H/F),Technicien / Technicienne de maintenance industrielle
34,RECRUT-INFO: DÉVELOPPEUR C / ASP. NET - FULL REMOTE - (H/F),Développeur / Développeuse informatique
35,"BABY-SITTING 10 H/SEMAINE À STRASBOURG POUR 2 ENFANTS, 2 ANS, 4 ANS (H/F)",Baby-sitter
36,"GARDE D'ENFANT 4 H/SEMAINE À TOULON POUR 1 ENFANT, 3 ANS (H/F)",Garde d'enfant à domicile
37,Garde d'enfants en MANDARIN à Strasbourg H/F,Garde d'enfant à domicile
38,Infirmier / Infirmière de soins généraux (H/F),Infirmier / Infirmière de soins généraux
